Brand,Model,CPU,Processor_Speed,RAM_Size,Storage_Capacity,Screen_Size,Weight,Touch,Price
Asus,Creator,Intel Core i9,2.543951939,8,512,15.52156778,3.110073572,Yes,16968.45372
Acer,Prestige,Intel Evo Core i7,3.697795769,16,512,12.22200283,3.651415331,No,17844.55901
Lenovo,Pavilion,Intel Core i7,3.861830056,8,256,12.96531299,4.370044525,No,9905.976595
Asus,Aspire,Intel Core i3,2.668503778,32,1000,14.28011153,2.953947654,No,32812.68703
Lenovo,Raider,Intel Core i7,3.033528473,4,1000,14.45245632,3.739193498,No,31446.72118
Dell,MacBook Air,Apple M2,1.917584865,32,512,11.13284885,3.036874981,No,17999.39031
Dell,ROG,Intel Core i9,3.977921565,8,512,16.67068513,4.447308214,No,17328.13458
Asus,Extensa,Intel Core i5,2.079179253,8,1000,15.17976363,3.400184281,No,31803.59381
Asus,Aspire,Intel Core i7,3.856829435,8,1000,13.9742225,2.230168481,No,31773.80362
Acer,MacBook Pro,Apple M2 Pro,3.124116622,4,512,16.59876341,2.498157564,No,17299.4301
Acer,Creator,Intel Core i7,3.019341987,16,512,13.63457339,2.183314003,No,17354.57521
Lenovo,V15,AMD Ryzen 5,2.781721278,32,1000,16.88261342,3.497908838,No,32706.13245
Asus,Flex,Intel Core i3,2.076674529,32,256,14.07370854,2.319011892,No,10558.3744
Dell,MacBook Air,Apple M2,1.94132008,16,512,11.68571462,2.342419908,No,17504.6662
Acer,Chromebook,Apple M1,2.051215523,32,1000,15.58880583,4.82314478,Yes,32809.51887
Acer,V15,Intel Core i3,1.966095655,4,1000,15.07338635,4.617965217,No,31435.52409
Dell,Prestige,Intel Evo Core i5,3.448961184,32,1000,15.63792033,3.35625979,No,33459.84749
Acer,EliteBook,Intel Core i5,2.375313148,8,1000,16.70865217,4.957415963,No,31908.59207
Lenovo,Victus,Intel Core i7,1.644606691,16,256,15.65893582,2.000559585,No,9608.279542
Asus,Pavilion,AMD Ryzen 7,3.922756575,4,1000,14.66801961,3.841938369,No,31653.26295
Dell,Creator,Intel Core i7,3.709464712,16,512,16.14385341,3.849284532,No,17905.28894
Asus,ROG,Intel Core i9,3.819380708,4,256,15.03947864,3.372329168,No,9576.799205
Acer,ZenBook,Intel Evo Core i5,3.987269557,8,1000,13.44871434,3.190843919,No,32018.2351
Acer,VivoBook,Intel Core i7,1.934738123,16,256,16.31371859,3.366149406,No,9594.157765
Dell,MacBook Air,Apple M1,2.490605047,32,512,12.33140276,3.244881308,No,18157.02232
Lenovo,Revolt,Intel Core i7,3.395596189,4,1000,15.28784765,4.191477432,No,31613.4575
HP,Omen,AMD Ryzen 7,3.240051545,16,512,16.28938073,2.406066305,No,17547.6635
Dell,TUF,Intel Core i7,1.884739766,32,1000,15.38789912,2.592917662,No,32638.54713
HP,Chromebook,Intel Celeron,3.539582812,16,1000,15.18365251,2.541554685,No,32339.21379
HP,Go,Intel Pentium,2.06110143,16,1000,15.51582976,2.787411755,No,31865.3997
Lenovo,255,AMD Ryzen 3,2.059544037,16,1000,13.79033149,3.575775256,No,31987.43352
HP,ExpertBook,Intel Core i7,2.842436057,4,1000,16.24502409,2.333626242,Yes,31150.07678
HP,Prestige,Intel Core i7,2.982349837,32,256,12.22061885,4.604507886,No,10454.86243
Lenovo,Latitude,Intel Core i5,2.95021552,8,1000,11.7643185,2.892084594,No,31916.07447
HP,Envy,Intel Evo Core i7,1.728717093,4,1000,12.71305268,2.487613962,Yes,31095.04249
HP,TUF,Intel Core i7,3.693652157,4,256,14.18946438,4.026863929,No,9480.671472
HP,VivoBook,Intel Core i3,2.164000106,4,256,14.06337077,2.114258902,No,8909.468098
Dell,MacBook Air,Apple M2,1.823787303,8,256,15.92359255,3.859905695,No,9379.787386
Dell,250,Intel Core i5,3.7218702,32,256,13.42741194,4.094595292,No,10692.55454
Dell,IdeaPad,AMD Ryzen 3,3.889128746,32,256,13.90606656,2.644749594,No,10742.17026
Lenovo,Deputy,Intel Core i7,3.655319043,32,256,11.0802061,2.12589222,No,10722.2793
Acer,Summit,Intel Core i7,3.523790187,16,1000,13.45843542,3.090936077,Yes,31974.33199
HP,Vostro,Intel Core i5,3.138104952,16,1000,14.8866454,2.295782691,No,32396.81424
HP,M515UA,AMD Ryzen 7,2.877143427,16,512,11.09304998,2.349433549,No,17694.48204
Lenovo,ROG,Intel Core i9,1.7174669,8,1000,12.68529179,2.762783694,No,31397.56508
HP,VivoBook,AMD Ryzen 5,2.521133033,16,1000,12.24773816,2.886403774,No,32125.15817
Dell,MacBook Air,Apple M2,2.431721293,8,256,11.25191257,3.589911023,No,9411.265536
Acer,Thin,Intel Core i5,2.149384459,32,256,13.87556054,4.035175657,No,10428.78484
Asus,G5,Intel Core i5,3.308550284,16,1000,12.09033976,3.778312823,No,31944.08429
HP,ZenBook,AMD Ryzen 5,2.739689338,16,512,15.45848924,2.445081012,No,17811.47327
Dell,Creator,Intel Core i7,1.70261554,4,256,16.0875673,2.516258097,No,8938.607532
Asus,ThinkPad,Intel Core i5,2.050458005,8,1000,14.2735111,4.636307749,No,31427.37179
Acer,Victus,AMD Ryzen 7,3.208146909,32,1000,16.89024406,3.675056945,No,33370.44208
Asus,MacBook Air,Apple M2,1.690327149,4,512,13.70287143,4.609813499,No,16748.03648
Dell,ROG,AMD Ryzen 9,3.628017285,4,512,14.08020926,3.114639534,No,17087.54726
Asus,MacBook Pro,Apple M2,2.737866318,32,256,16.93530652,3.843200022,No,10433.69526
Lenovo,MacBook Pro,Apple M2,2.701466443,4,512,12.38929062,3.570990248,No,16972.93001
Asus,MacBook Air,Apple M2,2.981019462,8,1000,16.65527564,2.957370469,No,32379.03942
HP,ExpertBook,Intel Core i5,3.561702415,8,1000,11.25702533,3.409746116,No,31979.48506
HP,Stealth,Intel Core i9,2.36952302,16,512,13.67832134,3.50747263,No,17471.614
Lenovo,ROG,Intel Core i7,3.195040381,4,512,11.42002107,2.602312924,No,17045.60393
Dell,Thin,Intel Core i5,2.91432991,16,512,15.37540846,2.945031117,No,17455.30077
HP,TUF,Intel Core i7,2.167570675,4,512,14.65045362,4.374229252,No,16675.25077
Acer,Chromebook,Intel Celeron,3.696574966,8,256,15.23980558,4.747364718,No,9506.548361
HP,Ultra,Intel Evo Core i7,3.493565054,8,512,13.2468824,3.079382281,No,17077.86684
HP,ROG,Intel Core i9,3.146129587,8,256,13.2168916,2.920916847,No,9373.865608
Dell,V15,AMD Ryzen 7,3.626454323,4,1000,11.27191567,2.585591494,No,31553.45182
Asus,Creator,Intel Core i7,3.668235502,8,512,13.09966964,4.035473506,No,17166.34886
HP,Summit,Intel Evo Core i7,3.270907442,4,256,16.57573041,2.969299105,Yes,9281.467499
Lenovo,15S,Intel Core i7,3.592533321,16,512,13.27535922,4.963248617,No,17642.98373
Asus,ROG,AMD Ryzen 7,3.243678654,4,1000,15.98820624,2.977054406,No,31654.48792
Acer,Prestige,Intel Core i7,3.200351929,16,1000,16.05395303,3.18240814,No,32262.79786
Dell,ROG,AMD Ryzen 9,3.046528446,4,1000,13.23944694,3.810002589,No,31840.45411
Acer,Katana,Intel Core i7,3.381791599,16,512,14.79193208,4.40505288,No,17603.49328
Asus,MacBook Pro,Apple M2 Pro,1.896512763,8,512,11.57222961,3.408555996,No,17278.83978
Asus,ROG,Intel Core i9,3.702176898,16,256,11.62207148,3.267968101,No,9990.735036
Asus,VivoBook,Intel Core i5,3.679608819,8,1000,11.29194598,4.986913501,No,31722.43963
Acer,MacBook Air,Apple M1,1.573118208,8,512,14.48609056,2.031480923,No,17113.94729
Asus,ExpertBook,Intel Core i7,3.564541876,16,1000,13.55642587,4.685195867,No,32221.27948
Acer,M515UA,AMD Ryzen 5,1.822174669,4,1000,14.28819414,2.447422478,No,30846.98776
Asus,MacBook Pro,Apple M2,2.337797136,4,256,14.12643914,4.357775829,No,9085.709823
Lenovo,VivoBook,Intel Core i3,3.358770641,32,256,13.10121795,3.85379468,No,10625.40537
Asus,Akoya,Intel Core i5,1.90189974,4,256,15.06484049,3.025541856,No,9352.730816
Acer,TUF,AMD Ryzen 7,3.54491756,32,256,15.55101129,4.621624867,No,10574.27415
HP,MacBook Air,Apple M2,3.580335445,4,1000,11.08776955,2.038721684,No,31550.9043
Asus,Aspire,Intel Core i7,2.768669334,4,256,12.2434538,2.680071956,No,9405.330099
HP,Pavilion,Intel Core i5,1.515964679,8,256,15.27941521,3.700678389,Yes,9230.656163
Lenovo,ProBook,AMD Ryzen 5,2.217595333,32,256,13.31972104,3.05462678,No,10425.07585
Dell,Raider,Intel Core i9,3.042317296,4,256,14.97490368,3.831132486,No,9098.353075
Lenovo,Predator,Intel Core i7,3.952965445,32,1000,13.08177596,2.07233058,No,33201.85445
Asus,250,Intel Core i7,3.079533818,8,256,13.34453091,2.349376791,No,9433.443385
HP,Envy,Intel Evo Core i7,2.149508953,8,1000,11.95207324,2.381288721,No,31391.56452
HP,TUF,AMD Ryzen 9,3.085014258,32,512,12.54938612,2.567850938,No,18159.14276
Acer,TUF,Intel Core i5,2.849963449,8,1000,14.63247055,3.377994322,No,31565.96773
HP,250,Intel Celeron,3.449613488,16,1000,13.59897867,4.256386099,No,32020.82729
Acer,Chromebook,Intel Celeron,1.767451597,16,256,15.6458161,4.716616514,Yes,9786.047228
Dell,ROG,Intel Core i9,3.402569756,8,512,16.11550973,4.506117591,No,17377.64164
Asus,Raider,Intel Core i7,2.853166447,16,512,14.24987851,2.590663615,No,17676.85911
Acer,Modern,Intel Core i7,3.90748001,4,512,15.54960375,3.323451657,No,17120.15347
Dell,Aspire,Intel Celeron,2.354680415,32,512,12.84142708,2.598234793,No,18113.25652
HP,Revolt,Intel Core i7,3.081554733,4,1000,13.48982729,2.79341545,No,31513.29692
HP,Surface Laptop,Intel Core i5,3.830070264,32,512,15.27666606,3.510640945,Yes,18700.66128
Dell,TUF,Intel Core i9,1.75627432,8,1000,13.31727196,2.204327074,No,31131.52747
HP,VivoBook,AMD Ryzen 7,3.843071218,4,1000,14.53102961,2.654522989,No,31629.79239
Dell,ROG,Intel Core i9,3.219714306,8,1000,12.11223667,4.806134484,No,31560.65712
Acer,TUF,Intel Core i9,1.669592648,8,512,14.59862789,3.398348878,No,17123.88511
Acer,TUF,Intel Core i7,2.252408917,32,256,16.16908224,3.336159578,No,10425.01033
Dell,Creator,Intel Core i7,3.270430222,32,256,16.21183784,2.043701464,Yes,10410.68802
Acer,Blade,Intel Core i7,1.668376504,32,512,15.34606644,2.742199241,No,18117.85937
Acer,Extensa,Intel Core i3,2.95542615,4,256,15.47452027,4.598877308,No,9160.564024
Acer,Summit,Intel Core i7,2.364707642,16,256,14.34756467,2.493885285,Yes,9603.568208
Lenovo,VivoBook,Intel Core i5,3.052288794,32,1000,14.50800854,3.245374819,No,32836.15779
Asus,Deputy,Intel Core i5,1.614355085,32,1000,11.80190349,2.042992718,No,32498.5822
HP,Omen,Intel Core i7,3.678842015,4,512,13.66315513,3.435006445,No,17176.3935
Lenovo,Chromebook,Intel Celeron,3.933722423,32,512,13.7046577,2.06306332,No,18544.96448
Acer,Flex Advance,Intel Core i5,3.922194638,4,256,16.75098701,4.458828659,No,9415.27723
Dell,Surface Laptop,Intel Evo Core i5,3.374129579,8,1000,13.58652118,4.474561302,Yes,31582.16295
Acer,Gram,Intel Evo Core i7,1.8252156,32,512,14.29605587,4.363226565,No,18033.55331
Asus,Prestige,Intel Evo Core i7,3.39565799,32,512,14.1995084,2.850092207,No,18446.74642
Acer,Prestige,Intel Core i7,1.561467291,8,512,14.8205703,4.511711655,No,16883.31864
Dell,14w,Intel Core i9,1.555308879,8,512,15.48939699,3.628994398,No,16876.73665
Asus,Predator,Intel Core i7,2.309025548,8,512,12.35025126,3.121424327,No,16753.07736
Acer,Omen,Intel Core i7,2.721607976,32,512,14.17234651,3.875989879,No,17768.37331
Asus,ExpertBook,Intel Core i7,3.426018545,16,256,15.95550624,2.037023138,No,10323.86735
HP,Titan,Intel Core i9,3.208238442,16,1000,13.77868828,2.428882633,No,31931.00525
HP,250,Intel Core i5,2.614756766,16,1000,12.67074528,4.226880615,No,31641.10586
Acer,250,Intel Core i3,2.184066666,32,512,14.92825445,2.732484826,No,18194.1567
Asus,Gram,Intel Core i7,3.99281125,8,1000,15.94260437,3.794027352,No,31637.77036
Dell,ROG,Intel Core i9,2.565453256,32,1000,11.37884176,3.155307808,No,32648.15466
Acer,IdeaPad,AMD Ryzen 5,2.628467561,8,1000,15.6607429,4.564417336,No,31803.03428
HP,MacBook Pro,Apple M1,1.909059553,32,512,15.9298876,4.857245918,No,18466.37466
HP,Predator,Intel Core i7,3.487023872,32,512,13.76913757,4.650694185,No,18463.78295
Acer,VivoBook,Intel Core i5,3.234205564,8,1000,16.89983394,2.811859984,No,31768.88734
Asus,TUF,Intel Core i7,2.051924032,16,1000,15.72025004,2.582488607,No,31988.68101
HP,Nitro,Intel Core i7,1.705952614,8,512,15.64197539,3.423304681,No,16518.07979
Asus,Ioxbook,Intel Core i3,3.201248255,4,256,15.48703145,2.022002453,No,9219.619834
HP,Legion,AMD Ryzen 5,3.136278036,4,1000,11.90364862,2.077428179,No,31454.59798
HP,ROG,Intel Core i9,2.183148817,8,256,12.30338532,3.659871919,No,9256.764483
Lenovo,IdeaPad,Intel Core i5,3.877158906,32,1000,13.78394079,3.561348212,Yes,33503.93504
HP,Galaxy Book,Intel Core i7,1.877644729,4,256,12.5840261,4.983745967,No,8570.01295
Dell,VivoBook,Intel Core i7,2.580837003,4,256,13.49144583,2.605525506,No,9058.40554
Acer,V15,AMD Ryzen 3,3.8590398,32,256,16.33078466,2.774311787,No,10483.97863
Acer,IdeaPad,AMD Ryzen 7,2.549318292,32,512,15.94596135,2.340621927,No,18164.70385
Asus,Nitro,Intel Core i5,3.096314869,16,256,14.78023927,4.752629029,No,9674.421041
HP,Gram,Intel Evo Core i7,2.493985995,32,256,16.14872237,4.333433733,No,10259.56805
Dell,Victus,AMD Ryzen 7,2.185538006,8,256,15.70263433,4.467017334,No,9469.108521
Asus,Galaxy Book,Intel Core i5,3.95994412,8,1000,13.57390959,4.708291364,No,31967.51364
Lenovo,Gram,Intel Evo Core i7,2.523335016,16,256,12.20639091,3.57469996,No,9852.218948
Asus,Pavilion,Intel Core i7,3.735248009,4,1000,14.08520624,3.353579574,No,31588.88717
Asus,Vostro,AMD Ryzen 5,2.074886515,4,256,15.4173733,2.991174421,No,9059.269729
HP,Pavilion,Intel Core i7,2.03276176,32,256,13.61851759,3.767643843,No,10740.17439
Lenovo,Stealth,Intel Core i7,1.577835207,8,512,15.00063146,3.36283519,No,16841.40728
Asus,ROG,AMD Ryzen 9,3.129167063,4,1000,11.56596456,3.35469676,No,31685.19705
Dell,VivoBook,Intel Core i3,2.421315859,16,256,15.48802842,4.810783591,No,9602.424644
Dell,VivoBook,Intel Core i7,3.660895625,16,1000,15.87628172,4.952094543,No,32443.38728
Acer,MacBook Air,Apple M2,2.683024767,8,1000,15.24102713,4.389453168,No,31587.74709
Lenovo,Vostro,Intel Core i5,3.92048357,16,512,16.80358153,4.270274271,No,17358.18113
Lenovo,Katana,Intel Core i5,1.963813789,16,512,15.95991234,4.041674485,No,17330.02768
Acer,Predator,Intel Core i7,3.67155792,8,512,16.41856237,2.498224557,No,17203.63996
Asus,VivoBook,Intel Core i5,3.441492132,32,512,16.6014265,2.177317463,No,18133.59751
Lenovo,Stealth,Intel Core i7,3.427304612,32,512,15.80808795,4.072178945,No,18459.19946
Dell,MacBook Air,Apple M2,3.61195807,16,512,15.04555305,4.186358667,No,17462.73379
Dell,Aorus,Intel Core i7,3.402559977,32,512,11.03431149,2.140918973,No,18958.31729
HP,Ioxbook,AMD Ryzen 5,3.065550804,32,512,13.79495452,4.784155251,No,18008.27925
Lenovo,VivoBook,Intel Pentium,1.828112194,16,256,14.42697379,2.273421918,Yes,9368.842707
Asus,IdeaPad,Intel Core i7,1.581315449,32,1000,12.82418163,2.857701601,Yes,32818.07993
Acer,MacBook Air,Apple M2,3.80211962,16,512,12.90862668,4.017169438,No,17611.82039
Acer,Nitro,Intel Core i7,3.041625786,4,512,16.76695649,2.509617783,No,17148.40857
Asus,Chromebook,Intel Celeron,3.491343227,8,1000,16.35026519,2.166247665,No,31979.68968
HP,Flex Advance,AMD Ryzen 5,2.703805879,8,256,16.09507403,2.993439467,No,9296.266836
Acer,V15,Intel Celeron,1.793270472,32,1000,13.43607081,4.297914725,No,32408.57788
Lenovo,Summit,Intel Evo Core i7,1.812964481,32,1000,11.0821913,3.241036037,Yes,32866.04298
HP,Extensa,Intel Core i3,3.213913218,32,512,11.48133348,3.958918766,No,18035.13009
Lenovo,Predator,Intel Core i7,2.575764737,8,1000,12.87317821,3.738857292,No,31747.00913
Dell,IdeaPad,AMD Ryzen 7,2.001311817,4,1000,11.09445748,2.066655446,No,31485.28471
HP,Creator,Intel Core i7,2.728986367,4,512,11.10289869,4.965619961,No,16752.81549
Acer,Creator,Intel Core i7,1.660522343,8,512,16.49961981,2.124284266,No,16840.02451
HP,Raider,Intel Core i7,2.954928505,4,512,15.23695101,4.903408213,No,16709.94542
HP,Erazer,Intel Core i5,2.172483511,8,512,12.85373594,3.649592535,No,17007.62404
HP,Erazer,Intel Core i7,3.493897752,4,1000,11.79586747,4.889477081,No,30976.61636
HP,Omen,Intel Core i9,2.275904897,16,1000,14.06981431,2.344260798,No,32156.27993
Lenovo,Summit,Intel Evo Core i7,2.638050373,16,256,11.03207697,3.471225558,Yes,9717.434626
Dell,Omen,Intel Core i7,1.52905135,8,256,16.63048246,2.508512276,No,9148.771657
Asus,IdeaPad,Intel Core i5,1.681117219,4,1000,13.48889072,2.152924631,No,31332.93247
HP,Raider,Intel Core i9,2.481233891,32,256,13.41400973,3.852587345,No,10231.28982
Acer,Stealth,Intel Core i7,2.699847087,4,1000,13.34356165,2.623350263,No,30998.00861
HP,Stealth,Intel Core i7,3.00005137,16,256,11.41596998,3.763091055,No,9864.413777
Acer,TUF,Intel Core i7,2.229156447,16,512,14.82993344,2.337093446,No,17642.36826
Lenovo,Stealth,Intel Core i7,3.237454715,4,256,15.39802172,2.995959414,No,8957.611389
Acer,Victus,Intel Core i5,3.650305993,4,512,15.05675239,4.344897674,No,16837.25125
Asus,ROG,Intel Core i9,3.449627472,32,512,11.83061296,3.311154566,No,18503.89119
Dell,Flex,Intel Celeron,1.599047063,32,512,14.47304101,3.883236245,Yes,18102.21582
Acer,Titan,Intel Core i9,2.701267368,4,512,14.41690691,3.942373822,No,17441.78956
Acer,Go,Intel Pentium,1.762325446,4,256,16.21046473,4.531265132,No,9226.493226
Dell,Gram,Intel Evo Core i7,2.10511254,4,1000,13.27476595,2.974768383,No,31523.85504
Asus,ROG,Intel Core i9,3.966656483,4,512,13.22891566,4.061886688,Yes,16924.533
HP,Galaxy Book,Intel Evo Core i7,1.856238857,8,256,14.71116235,4.884847421,Yes,9301.583704
Acer,Flex Advance,Intel Core i7,2.747220384,4,512,14.79843592,4.190730003,No,17162.58823
Dell,Envy,Intel Core i7,3.045389336,32,256,13.81571136,3.46961143,No,10597.81783
Lenovo,Stealth,Intel Core i7,3.256162426,16,256,13.65835617,3.892152333,No,9842.035171
Dell,Swift,AMD Ryzen 7,2.899121709,8,256,13.96488602,4.219048693,No,9425.202281
Lenovo,Creator,Intel Core i9,1.524427119,4,1000,16.1662718,3.836827297,Yes,31156.94285
Asus,Galaxy Book,Intel Evo Core i5,2.316153271,16,256,13.76700141,2.05002744,Yes,9751.863111
HP,VivoBook,Intel Core i5,2.794279108,8,256,16.63959075,2.584320493,No,9494.598859
Dell,Aero,Intel Core i7,1.719666248,16,1000,14.02402258,4.431404652,No,32176.09694
Acer,Creator,Intel Core i7,2.376567328,4,1000,16.69520416,2.817951942,Yes,31443.15954
Asus,Stealth,Intel Core i7,1.583007772,4,256,15.99699141,4.194686359,No,9109.540228
Dell,MacBook Pro,Intel Core i5,1.696446243,32,1000,13.17458794,3.116360646,No,32639.70434
Acer,ZenBook,Intel Core i7,2.492308191,4,512,16.18184853,3.565652984,Yes,16974.39397
Dell,ROG,AMD Ryzen 9,1.831789385,4,512,11.66037971,2.203919899,No,16587.51458
Lenovo,Aero,Intel Core i7,2.918852121,8,1000,16.55028305,2.543676683,No,31904.03392
Dell,Surface Go,Intel Pentium,3.223662423,32,1000,14.78986109,4.871590891,Yes,33137.46096
Dell,Victus,Intel Core i7,3.501466748,8,256,11.32634449,4.67041416,No,9246.784871
Dell,Prestige,Intel Core i7,2.000375611,16,1000,14.86554034,3.956825333,No,32178.29276
Asus,MacBook Pro,Apple M2,1.918706456,4,256,16.84548592,3.378933792,No,9033.566194
Dell,MacBook Pro,Apple M2,1.761419601,16,512,11.41880393,4.027283879,No,17106.42782
Acer,MacBook Air,Apple M1,3.091075624,8,1000,14.32812626,3.855830867,No,31624.21772
Lenovo,EliteBook,Intel Core i5,3.266189316,4,256,15.4867661,3.705656767,No,9365.556673
Lenovo,Aero,Intel Core i7,1.578965362,4,256,15.86155152,2.177531216,No,8990.324453
Dell,Ioxbook,Intel Celeron,3.840530616,8,512,13.48296479,3.898407832,No,17332.94278
Asus,IdeaPad,AMD Ryzen 5,1.629928209,8,1000,12.22499936,4.306760134,No,31505.46218
Asus,MacBook Pro,Apple M2,2.853240838,8,512,11.25405367,4.982244964,No,17127.62372
Acer,VivoBook,AMD Ryzen 5,3.272651299,8,256,14.47835694,2.033235658,No,10059.02187
Dell,V15,Intel Core i3,3.677422809,8,256,13.71746642,4.19052036,No,9555.867038
Lenovo,MacBook Pro,Apple M2 Pro,3.28521733,4,1000,16.69246637,3.715367948,No,31506.82444
Asus,Aspire,AMD Ryzen 5,3.504320208,8,256,11.36362945,3.302156528,No,9071.152399
Dell,Creator,Intel Core i7,2.348625481,4,1000,15.11237206,2.382710524,Yes,31209.08207
Asus,Stealth,Intel Core i7,3.537062784,4,512,11.14979733,3.227255446,No,17205.20568
Asus,Summit,Intel Core i7,1.700287116,8,1000,12.02860506,3.063131549,Yes,31593.98311
Lenovo,Surface Laptop,Intel Evo Core i5,3.73704164,8,1000,13.721474,2.908489667,Yes,31622.7557
HP,Revolt,Intel Core i7,2.86898094,32,256,13.72923466,4.19263887,No,11079.29698
Acer,V15,AMD Ryzen 7,3.543244425,4,256,15.11420326,4.102176564,No,9415.26408
Acer,Summit,Intel Evo Core i7,2.630795711,8,1000,16.46127821,3.767060273,Yes,31809.77745
Lenovo,255,AMD Ryzen 3,3.108944238,8,256,14.83419295,4.81599444,No,9899.157798
Asus,Netbook Pro,Intel Celeron,2.816006652,8,256,16.72121059,3.049563153,No,9795.021055
Dell,15S,AMD Ryzen 3,3.328973804,32,256,16.28969384,2.731405813,No,10900.50207
Asus,V15,AMD Ryzen 5,1.704074955,32,1000,14.50699877,3.967709939,No,32857.12066
Lenovo,Surface Laptop,Intel Core i5,1.65088021,16,256,16.00275171,2.596442183,Yes,9788.823674
Acer,ROG,AMD Ryzen 9,2.117758085,4,1000,14.85546566,2.945031522,No,31343.01719
Asus,ROG,AMD Ryzen 9,1.8988617,16,256,11.47134699,2.67380732,Yes,9619.819786
Acer,Raider,Intel Core i7,3.679458916,8,512,15.44338834,2.207460703,No,17397.54904
Dell,Flex Advance,Intel Core i5,2.048034968,32,256,11.56945065,4.482496225,No,10350.81453
Acer,250,Intel Core i5,3.93966314,32,256,14.56449668,2.763621629,No,10638.50244
Acer,Chromebook,AMD Athlon,2.342239479,16,1000,15.21584124,3.41908251,No,31985.34782
HP,Aorus,Intel Core i9,1.955294789,32,1000,11.39916565,2.12994582,No,32500.15629
HP,Surface Pro,Intel Evo Core i7,3.474246268,8,256,12.38476792,4.098018399,Yes,9494.438942
HP,MacBook Pro,Apple M2 Pro,3.146769439,32,512,16.49403339,2.991683007,No,18033.2263
Acer,Modern,Intel Core i5,2.745489291,16,256,14.69788695,4.234210183,No,9848.921198
Lenovo,Stealth,Intel Core i7,2.888408877,8,256,12.47771611,3.237209181,No,9048.609107
Acer,M515UA,AMD Ryzen 7,3.298004446,16,512,15.14407863,2.587266819,No,17515.91518
Lenovo,Creator,Intel Core i7,2.071136853,32,1000,14.58065852,3.539525247,No,32871.2655
Lenovo,ROG,Intel Core i9,3.99083479,16,256,14.0094542,2.391513679,Yes,10192.67025
HP,MacBook Pro,Apple M2 Pro,3.936982905,16,1000,16.85712185,3.32161748,No,32525.79469
Asus,Summit,Intel Core i7,3.125814216,4,1000,15.10072266,2.951916432,Yes,31661.60492
Dell,Notebook,Intel Celeron,1.998856127,32,512,13.25264666,4.735878753,No,17853.61071
HP,M515UA,AMD Ryzen 5,3.200570606,32,512,15.80044059,2.182786165,No,18590.41674
HP,V15,Intel Core i5,1.680496022,16,1000,16.30749976,4.082052242,No,31702.1484
Asus,ThinkPad,Intel Core i5,1.576631256,4,256,11.75132336,2.548253498,No,9123.785347
Dell,ROG,Intel Core i9,2.144207221,32,1000,12.20331787,2.957135223,No,32868.8774
Acer,Surface Laptop,Intel Evo Core i5,2.656557392,8,256,12.29736205,3.246542189,Yes,9596.573601
Acer,Surface Pro,Intel Evo Core i5,3.670681264,16,256,15.14727086,4.724045268,Yes,9974.814914
HP,Gram,Intel Evo Core i7,3.317922674,32,512,14.61823733,2.727734798,No,18224.91911
Dell,470,Intel Core i7,3.356766303,8,256,14.71394939,2.273926408,No,9264.362479
HP,VivoBook,Intel Core i3,2.563733336,32,256,16.6446398,2.956068812,No,10359.76291
Lenovo,Blade,Intel Core i9,2.364837481,8,1000,15.6554692,2.314027912,No,31335.58165
HP,ROG,AMD Ryzen 7,2.427596907,16,512,11.76762155,2.385789458,No,17545.4145
HP,Vostro,Intel Core i7,3.969123909,32,256,13.08504249,3.721551794,No,11011.7935
Acer,Gram,Intel Core i5,1.600272979,32,256,13.61236188,2.182705799,No,10461.21476
Acer,Ioxbook,Intel Celeron,3.66757874,4,512,13.37576953,2.092792644,No,17033.49503
Acer,15S,Intel Core i3,2.946688521,16,1000,15.01585165,4.143242304,No,32560.4142
Lenovo,MacBook Pro,Apple M2 Pro,2.596538548,8,512,16.35135862,3.084941285,No,17055.85577
Acer,Surface Pro,Intel Evo Core i5,3.313144151,32,512,12.83630878,2.376126048,Yes,18399.77711
Dell,Go,Intel Pentium,2.716672354,32,256,14.31126282,2.760838313,No,10572.38104
Asus,Spectre,Intel Evo Core i7,3.683558095,8,256,15.73645653,3.926259522,Yes,9524.516541
Dell,Gram,Intel Evo Core i7,3.75175466,16,1000,13.49730835,2.826609701,No,32418.2259
Dell,Galaxy Book,Intel Evo Core i7,2.554302317,4,256,12.00870877,3.483563375,No,8969.499667
Acer,ThinkPad,Intel Core i5,2.192069493,4,256,13.84970579,2.36508592,No,8931.64159
Asus,IdeaPad,AMD Ryzen 5,2.980875821,32,512,11.33133512,3.764280913,No,18381.45293
Asus,Flex,Intel Core i3,3.780908364,8,256,16.65430072,2.948233052,No,9540.263683
Asus,Akoya,AMD Ryzen 3,2.026655473,32,1000,11.44892723,3.880905304,No,32722.19699
Lenovo,Surface Laptop,AMD Ryzen 7,3.057416459,8,512,13.63074029,4.425184647,Yes,17031.58063
Acer,Blade,Intel Core i9,3.07890055,4,1000,14.17928757,3.834939258,No,31558.70621
Asus,Blade,Intel Core i9,3.332782556,16,512,16.91182299,2.887242688,No,17501.26272
Lenovo,Alurin,AMD Radeon 5,1.828919213,8,256,11.99613094,2.767231105,No,9029.9164
HP,Flex Advance,AMD Ryzen 5,3.289562412,4,512,11.68658911,2.982262876,No,16757.87521
HP,Blade,Intel Core i9,3.772581302,32,512,11.05223688,2.49386154,No,18579.2884
Lenovo,ZenBook,Intel Evo Core i7,1.949207772,8,256,11.93342862,2.543515553,No,9217.451938
